GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
SnakeGame2,step_definitions,GamePanel3.MyKeyAdapter,49,0,13,0,11,0,10,0,2,0
SnakeGame2,step_definitions,GamePanel.MyKeyAdapter,49,0,13,0,11,0,10,0,2,0
SnakeGame2,step_definitions,GamePanel,390,0,35,0,78,0,29,0,10,0
SnakeGame2,step_definitions,GameFrame,57,0,0,0,20,0,2,0,2,0
SnakeGame2,step_definitions,GamePanel3,453,0,35,0,86,0,29,0,10,0
SnakeGame2,step_definitions,SnakeGame,8,0,0,0,3,0,2,0,2,0
SnakeGame2,step_definitions,MyKeyAdapter,37,0,16,0,10,0,10,0,2,0
